   ;PAY;CNT;PAY_DATE
109;53191,3464;67240;18.04.2012
110;53320,16347;63763;19.04.2012
111;44762,78083;52568;20.04.2012
112;35025,14342;38785;21.04.2012
113;3407,979442;4209;22.04.2012
114;41827,91575;47617;23.04.2012
115;36060,09309;38383;24.04.2012
116;37372,31222;39806;25.04.2012
117;31881,38258;33150;26.04.2012
118;37176,81343;40442;27.04.2012
119;40178,11133;45237;28.04.2012
120;3738,127235;4152;29.04.2012
121;11912,27683;13824;30.04.2012
122;645,6351954;668;01.05.2012
123;38739,57558;40649;02.05.2012
124;34427,39335;33386;03.05.2012
125;31649,64948;29905;04.05.2012
126;28142,96613;26113;05.05.2012
127;2533,461767;2377;06.05.2012
128;9180,790776;8983;07.05.2012
129;6191,132655;6189;08.05.2012
130;347,2137114;314;09.05.2012
131;32267,55761;32623;10.05.2012
132;29800,764;29327;11.05.2012
133;34552,51262;37650;12.05.2012
134;4100,886608;4983;13.05.2012
135;48213,51159;61156;14.05.2012
136;49964,39938;65448;15.05.2012
137;51311,69552;66858;16.05.2012
138;49609,38443;64382;17.05.2012
139;49218,78031;65806;18.05.2012
140;42341,09802;52742;19.05.2012
141;4362,895307;6039;20.05.2012
142;45790,11312;56784;21.05.2012
143;42558,12852;48704;22.05.2012
144;36828,66342;40910;23.05.2012
145;33774,56095;37365;24.05.2012
146;30658,28096;33473;25.05.2012
147;23145,55342;24191;26.05.2012
148;2205,139684;2408;27.05.2012
149;34212,66232;38346;28.05.2012
150;31846,94356;34129;29.05.2012
151;26952,05768;27967;30.05.2012
152;38788,24713;40018;31.05.2012
153;29799,67873;28881;01.06.2012
154;18797,10089;16864;02.06.2012
155;799,201259;761;03.06.2012
156;32299,35898;30765;04.06.2012
157;29672,2196;26449;05.06.2012
158;26897,49466;23519;06.06.2012
159;24475,30281;21874;07.06.2012
160;25322,80019;23501;08.06.2012
161;27158,13588;27044;09.06.2012
162;1049,003938;1060;10.06.2012
163;11070,76627;13618;11.06.2012
164;690,5292154;761;12.06.2012
165;40961,40705;53100;13.06.2012
166;43926,00149;58755;14.06.2012
167;44413,22019;61186;15.06.2012
168;38331,74403;51536;16.06.2012
169;1328,765909;1690;17.06.2012
170;48928,79605;71544;18.06.2012
171;52201,46999;70129;19.06.2012
172;48200,14333;60113;20.06.2012
173;40924,38532;48104;21.06.2012
174;34409,01722;39273;22.06.2012
175;24916,6953;28247;23.06.2012
176;1175,233064;1192;24.06.2012
177;39149,97329;44701;25.06.2012
178;37197,58473;38487;26.06.2012
179;37414,69453;37046;27.06.2012
180;39995,46251;38604;28.06.2012
181;49614,41602;45442;29.06.2012
182;53974,96546;47169;30.06.2012
183;1118,327123;1117;01.07.2012
184;34391,68646;34687;02.07.2012
185;31154,8667;29241;03.07.2012
186;26724,80129;24493;04.07.2012
187;23512,61454;21478;05.07.2012
188;21908,31446;20070;06.07.2012
189;14887,66871;13392;07.07.2012
190;546,4068688;516;08.07.2012
191;24303,50776;23719;09.07.2012
192;24820,61;24910;10.07.2012
193;25976,85668;29230;11.07.2012
194;27625,45642;34747;12.07.2012
195;27023,69104;36700;13.07.2012
196;26177,13266;36070;14.07.2012
197;1149,78101;1528;15.07.2012
198;36661,481;54404;16.07.2012
199;39668,43592;58709;17.07.2012
200;39053,87722;56185;18.07.2012
201;37468,83285;54406;19.07.2012
202;34564,91324;48489;20.07.2012
203;23071,14668;30773;21.07.2012
204;850,0381656;1201;22.07.2012
205;30387,92527;42630;23.07.2012
206;29061,98606;38586;24.07.2012
207;28878,86383;37429;25.07.2012
208;26875,60594;31911;26.07.2012
209;23498,6281;28090;27.07.2012
210;16018,30757;20212;28.07.2012
211;632,4605968;812;29.07.2012
212;26566,51886;34979;30.07.2012
213;30257,63821;37692;31.07.2012
214;25025,82119;27088;01.08.2012
215;25027,28357;25888;02.08.2012
216;20637,94074;21936;03.08.2012
217;14355,1511;14939;04.08.2012
218;694,8341262;703;05.08.2012
219;23687,31385;25077;06.08.2012
220;19194,07263;19188;07.08.2012
221;19522,73788;19148;08.08.2012
222;22294,76858;24128;09.08.2012
223;23255,42348;27745;10.08.2012
224;21069,41323;25686;11.08.2012
225;818,1247792;1074;12.08.2012
226;31593,54724;42992;13.08.2012
227;31492,88493;43421;14.08.2012
228;33128,22602;47173;15.08.2012
229;35533,75977;53064;16.08.2012
230;37640,46273;58065;17.08.2012
231;29264,37441;44335;18.08.2012
232;1223,765264;1574;19.08.2012
233;36923,52494;57874;20.08.2012
234;35172,12362;49121;21.08.2012
235;30623,30751;41708;22.08.2012
236;22610,40535;30732;23.08.2012
237;27819,82541;38905;24.08.2012
238;20787,24502;27896;25.08.2012
239;944,9004908;1152;26.08.2012
240;28966,99043;37587;27.08.2012
241;27172,87151;34238;28.08.2012
242;25410,19157;29952;29.08.2012
243;27163,25559;32082;30.08.2012
244;31920,20131;35755;31.08.2012
245;20050,06502;20610;01.09.2012
246;793,4196414;751;02.09.2012
247;26917,88491;27445;03.09.2012
248;26001,21549;24993;04.09.2012
249;22578,18281;20865;05.09.2012
250;22049,32626;19550;06.09.2012
251;18098,41805;16066;07.09.2012
252;18182,32796;16553;08.09.2012
253;860,7696494;780;09.09.2012
254;25378,49095;24434;10.09.2012
255;23260,28198;21804;11.09.2012
256;22832,47948;20537;12.09.2012
257;21518,89828;19470;13.09.2012
258;22552,47305;23298;14.09.2012
259;22217,11259;24983;15.09.2012
260;1030,636317;1112;16.09.2012
261;33339,71586;46072;17.09.2012
262;38566,41551;59877;18.09.2012
263;41245,79396;65535;19.09.2012
264;44082,56677;67328;20.09.2012
265;40959,80173;59747;21.09.2012
266;34089,99141;47897;22.09.2012
267;1328,024393;1747;23.09.2012
268;40379,84316;61575;24.09.2012
269;38498,90365;54539;25.09.2012
270;37234,27975;48988;26.09.2012
271;35089,3546;46097;27.09.2012
272;34537,50199;45650;28.09.2012
273;30877,66183;39568;29.09.2012
274;1658,664663;1828;30.09.2012
275;41310,76546;43657;01.10.2012
276;33246,91818;31444;02.10.2012
277;28278,03989;25564;03.10.2012
278;23910,47637;20768;04.10.2012
279;21500,78702;19161;05.10.2012
280;19432,58852;16104;06.10.2012
281;1775,721502;1417;07.10.2012
282;23638,86875;20012;08.10.2012
283;23807,29489;19871;09.10.2012
284;21363,33225;17765;10.10.2012
285;21617,11411;17993;11.10.2012
286;20478,52731;17047;12.10.2012
287;18870,05441;15439;13.10.2012
288;1870,416274;1454;14.10.2012
289;22026,32019;20048;15.10.2012
290;27606,32093;29996;16.10.2012
291;33822,75543;46589;17.10.2012
292;38542,09658;66308;18.10.2012
293;41803,9258;72945;19.10.2012
294;44032,75723;67066;20.10.2012
295;4465,103646;6485;21.10.2012
296;49158,61598;74265;22.10.2012
297;48099,3365;69174;23.10.2012
298;44316,64887;63068;24.10.2012
299;42593,11017;59472;25.10.2012
300;39005,79684;50866;26.10.2012
301;31692,98818;40905;27.10.2012
302;3376,07313;4126;28.10.2012
303;41460,06435;55922;29.10.2012
304;41631,12819;52587;30.10.2012
305;39478,81355;45140;31.10.2012
306;30899,29694;28956;01.11.2012
307;25605,95884;22378;02.11.2012
308;20274,26192;17478;03.11.2012
309;748,3578534;656;04.11.2012
310;6010,7965;4745;05.11.2012
311;26042,30594;21734;06.11.2012
312;22866,77727;17895;07.11.2012
313;21255,02826;16871;08.11.2012
314;21179,76941;16662;09.11.2012
315;19444,92057;15314;10.11.2012
316;1796,402848;1394;11.11.2012
317;22030,43209;16694;12.11.2012
318;21595,82139;16988;13.11.2012
319;22175,22613;21256;14.11.2012
320;27868,17012;33358;15.11.2012
321;41805,06922;60206;16.11.2012
322;44452,64592;63364;17.11.2012
323;5800,110766;8170;18.11.2012
324;55821,9218;84570;19.11.2012
325;59583,94311;84635;20.11.2012
326;58235,24038;79527;21.11.2012
327;52694,89109;70850;22.11.2012
328;48662,67037;66746;23.11.2012
329;45816,70619;59646;24.11.2012
330;5075,340008;6564;25.11.2012
331;49447,70731;65032;26.11.2012
332;46775,13368;58868;27.11.2012
333;40631,44679;50671;28.11.2012
334;38298,32547;48242;29.11.2012
335;37337,83497;44343;30.11.2012
336;27142,16131;27864;01.12.2012
337;2723,285725;2664;02.12.2012
338;29769,87849;27867;03.12.2012
339;23973,20556;21652;04.12.2012
340;21685,63844;18602;05.12.2012
341;21058,62473;16618;06.12.2012
342;17468,91666;14520;07.12.2012
343;17636,25867;14598;08.12.2012
344;1705,643924;1510;09.12.2012
345;20473,71256;16742;10.12.2012
346;19659,87022;14954;11.12.2012
347;20158,49156;15663;12.12.2012
348;20185,24852;17606;13.12.2012
349;24539,44249;24576;14.12.2012
350;29192,73002;30989;15.12.2012
351;3941,708436;4591;16.12.2012
352;45061,93556;58614;17.12.2012
353;53714,4082;73603;18.12.2012
354;58598,2649;81402;19.12.2012
355;63316,47818;82594;20.12.2012
356;63188,09939;83239;21.12.2012
357;56855,01387;73031;22.12.2012
358;7124,240824;9508;23.12.2012
359;70321,63563;91458;24.12.2012
360;70284,15627;86670;25.12.2012
361;68405,13957;79872;26.12.2012
362;65944,40799;73046;27.12.2012
363;67067,56933;70152;28.12.2012
364;69556,97783;69904;29.12.2012
365;33661,90081;31722;30.12.2012
366;1856,575561;2084;31.12.2012
367;42,226214;78;01.01.2013
368;113,6030962;90;02.01.2013
369;116,7399826;91;03.01.2013
370;499,6774642;606;04.01.2013
371;450,6868364;552;05.01.2013
372;240,3619238;298;06.01.2013
373;153,7414026;162;07.01.2013
374;521,3002;576;08.01.2013
375;37938,11527;35050;09.01.2013
376;27553,24146;24861;10.01.2013
377;22190,27455;19846;11.01.2013
378;19501,52434;17676;12.01.2013
379;1828,33427;1629;13.01.2013
380;22277,32784;20284;14.01.2013
381;26306,41672;26189;15.01.2013
382;32336,19269;35958;16.01.2013
383;40248,92777;49663;17.01.2013
384;52170,09242;68609;18.01.2013
385;53226,74187;68434;19.01.2013
386;8242,148514;10761;20.01.2013
387;69315,39413;91218;21.01.2013
388;70896,92306;91313;22.01.2013
389;69285,77828;87361;23.01.2013
390;65174,51165;81568;24.01.2013
391;61510,62455;75283;25.01.2013
392;51985,33905;61726;26.01.2013
393;5689,651537;6958;27.01.2013
394;60183,50518;72076;28.01.2013
395;56846,5886;66125;29.01.2013
396;54290,73164;61466;30.01.2013
397;47877,53322;50783;31.01.2013
398;29596,26087;27129;01.02.2013
399;24679,17427;22015;02.02.2013
400;2450,193873;2138;03.02.2013
401;25867,10646;22473;04.02.2013
402;22266,26304;18916;05.02.2013
403;19999,8616;16566;06.02.2013
404;17452,31954;14434;07.02.2013
405;17977,75927;14565;08.02.2013
406;17659,20061;14929;09.02.2013
407;1865,697316;1793;10.02.2013
408;20602,28072;17215;11.02.2013
409;19581,59408;16921;12.02.2013
410;18647,08553;17430;13.02.2013
411;18627,13117;17963;14.02.2013
412;22181,31341;23020;15.02.2013
413;28508,88458;32248;16.02.2013
414;4830,845846;5807;17.02.2013
415;52749,78749;68211;18.02.2013
416;64967,60542;85447;19.02.2013
417;74093,9766;95417;20.02.2013
418;69895,78304;89660;21.02.2013
419;66877,21221;86956;22.02.2013
420;3433,7273;4183;23.02.2013
421;8589,36508;11285;24.02.2013
422;85660,30626;110005;25.02.2013
423;83785,3563;102375;26.02.2013
424;78436,63519;94598;27.02.2013
425;72589,68482;82827;28.02.2013
426;41906,93333;43816;01.03.2013
427;33293,63019;33635;02.03.2013
428;3291,867798;3212;03.03.2013
429;30908,84552;30019;04.03.2013
430;25847,41584;23878;05.03.2013
431;23510,37288;21164;06.03.2013
432;18947,79799;17960;07.03.2013
433;604,5595188;542;08.03.2013
434;7293,76129;6815;09.03.2013
435;1888,535834;1794;10.03.2013
436;21308,51556;18996;11.03.2013
437;22765,70887;18930;12.03.2013
438;19547,37075;17019;13.03.2013
439;18493,42557;16926;14.03.2013
440;22524,70328;24092;15.03.2013
441;26255,37702;30029;16.03.2013
442;3847,000921;4661;17.03.2013
443;40521,32356;53619;18.03.2013
444;56172,57799;77404;19.03.2013
445;65334,94222;91436;20.03.2013
446;66632,3063;92679;21.03.2013
447;63538,58601;90176;22.03.2013
448;58395,71913;80523;23.03.2013
449;7899,56997;11346;24.03.2013
450;70057,51792;97973;25.03.2013
451;65253,06916;87291;26.03.2013
452;58402,76852;76188;27.03.2013
453;51426,18138;66236;28.03.2013
454;50330,80937;64650;29.03.2013
455;43313,50857;54912;30.03.2013
456;5628,198065;6801;31.03.2013
457;35112,25797;37690;01.04.2013
458;27648,25036;27800;02.04.2013
459;24175,77766;22982;03.04.2013
460;19536,00499;18505;04.04.2013
461;18313,71991;16689;05.04.2013
462;15055,87031;14101;06.04.2013
463;1778,451899;1706;07.04.2013
464;18852,30006;16733;08.04.2013
465;18295,55223;16186;09.04.2013
466;17971,46808;15638;10.04.2013
467;16082,14306;14264;11.04.2013
468;15838,68974;14110;12.04.2013
469;14199,44519;13017;13.04.2013
470;2053,87097;2028;14.04.2013
471;21486,62393;22619;15.04.2013
472;31240,72142;39499;16.04.2013
473;46643,55679;69253;17.04.2013
474;56235,49301;86908;18.04.2013
475;57206,50434;87962;19.04.2013
476;54915,45125;80456;20.04.2013
477;7575,328468;11180;21.04.2013
478;63517,39805;94179;22.04.2013
479;61995,57902;87971;23.04.2013
480;60049,30542;84280;24.04.2013
481;57876,84538;78636;25.04.2013
482;53144,74175;72422;26.04.2013
483;43555,61859;58032;27.04.2013
484;5906,141428;8020;28.04.2013
485;62561,27011;83452;29.04.2013
486;58846,79123;71038;30.04.2013
487;1613,472654;1731;01.05.2013
488;1569,138151;1638;02.05.2013
489;1258,579831;1365;03.05.2013
490;1705,294666;1745;04.05.2013
491;2156,188479;2273;05.05.2013
492;35382,78064;37415;06.05.2013
493;27212,81616;28591;07.05.2013
494;24784,48685;24670;08.05.2013
495;637,4475542;630;09.05.2013
496;5791,171773;5945;10.05.2013
497;6156,166561;6167;11.05.2013
498;1750,039102;1809;12.05.2013
499;23167,50585;22478;13.05.2013
500;21483,68455;20898;14.05.2013
501;23780,10728;24461;15.05.2013
502;26862,68517;32233;16.05.2013
503;28741,93863;38588;17.05.2013
504;29815,46229;41777;18.05.2013
505;4310,237756;6553;19.05.2013
506;46725,46382;70186;20.05.2013
507;51299,95492;75733;21.05.2013
508;51023,74949;75488;22.05.2013
509;47891,71438;71610;23.05.2013
510;52696,75589;80431;24.05.2013
511;38924,16628;58165;25.05.2013
512;5766,164425;8608;26.05.2013
513;56369,47539;84025;27.05.2013
514;55012,01561;78169;28.05.2013
515;51697,84655;71683;29.05.2013
516;49395,56704;68292;30.05.2013
517;45842,0462;60378;31.05.2013
518;22669,51968;25242;01.06.2013
519;1435,963778;1532;02.06.2013
520;29309,2574;31359;03.06.2013
521;25511,22651;26197;04.06.2013
522;23481,9393;23272;05.06.2013
523;21265,56212;20900;06.06.2013
524;19009,42054;18794;07.06.2013
525;13503,15126;13426;08.06.2013
526;1125,855404;1148;09.06.2013
527;20308,51321;19947;10.06.2013
528;17968,80298;16703;11.06.2013
529;1365,621175;1324;12.06.2013
530;19833,08454;19303;13.06.2013
531;19124,11835;19491;14.06.2013
532;17218,4748;19790;15.06.2013
533;1611,443773;1891;16.06.2013
534;33738,44609;47574;17.06.2013
535;44729,11759;68717;18.06.2013
536;48619,8869;76773;19.06.2013
537;51559,78663;80062;20.06.2013
538;52164,31433;78776;21.06.2013
539;36747,9551;56228;22.06.2013
540;2680,863643;3854;23.06.2013
541;54817,23842;86062;24.06.2013
542;54890,31482;81834;25.06.2013
543;53420,07095;76064;26.06.2013
544;51258,27552;72478;27.06.2013
545;53599,82608;74837;28.06.2013
546;41609,67953;56483;29.06.2013
547;4446,092061;5221;30.06.2013
548;38458,87217;45071;01.07.2013
549;41625,70326;44558;02.07.2013
550;30428,45374;32092;03.07.2013
551;24256,33514;24945;04.07.2013
552;21460,67938;21186;05.07.2013
553;14951,42844;14950;06.07.2013
554;1188,432881;1205;07.07.2013
555;20772,11685;21309;08.07.2013
556;19559,5888;19197;09.07.2013
557;18935,49522;18074;10.07.2013
558;16816,40572;16114;11.07.2013
559;16431,53058;15830;12.07.2013
560;11408,05121;11305;13.07.2013
561;1031,335087;1095;14.07.2013
562;19649,19038;22470;15.07.2013
563;22286,30574;27579;16.07.2013
564;26106,23116;36505;17.07.2013
565;32621,57665;50892;18.07.2013
566;40707,98069;70566;19.07.2013
567;36532,25766;64576;20.07.2013
568;2988,638595;4936;21.07.2013
569;48654,15206;88214;22.07.2013
570;51672,88254;91366;23.07.2013
571;52555,40891;89384;24.07.2013
572;48655,27629;81101;25.07.2013
573;41968,63293;67112;26.07.2013
574;28659,96067;45556;27.07.2013
575;2437,140732;3569;28.07.2013
576;45193,87097;73062;29.07.2013
577;42785,59855;66216;30.07.2013
578;38958,87218;55087;31.07.2013
579;25742,79032;29124;01.08.2013
580;20616,60318;22837;02.08.2013
581;14432,47993;16275;03.08.2013
582;1016,643099;1221;04.08.2013
583;21776,60552;23860;05.08.2013
584;18933,37815;20347;06.08.2013
585;17298,42276;17431;07.08.2013
586;15343,66697;15283;08.08.2013
587;15557,20104;15356;09.08.2013
588;12127,48444;12474;10.08.2013
589;1037,070595;1033;11.08.2013
590;18434,86547;19737;12.08.2013
591;21342,88583;24101;13.08.2013
592;24747,10748;32640;14.08.2013
593;26610,64223;37841;15.08.2013
594;39063,17214;60426;16.08.2013
595;31799,6777;50421;17.08.2013
596;3152,21336;4641;18.08.2013
597;52685,74442;88190;19.08.2013
598;56624,02857;90533;20.08.2013
599;49799,54831;78879;21.08.2013
600;47077,10091;73136;22.08.2013
601;44682,17773;68671;23.08.2013
602;32300,95531;50032;24.08.2013
603;2877,306049;4186;25.08.2013
604;46635,16154;72561;26.08.2013
605;42886,33338;62220;27.08.2013
606;37965,20411;55626;28.08.2013
607;36850,56113;52232;29.08.2013
608;37753,41098;52539;30.08.2013
609;27254,90193;36644;31.08.2013
610;2028,935352;2352;01.09.2013
611;26989,07659;30618;02.09.2013
612;23749,85077;25256;03.09.2013
613;21012,30592;21325;04.09.2013
614;18518,64749;18224;05.09.2013
615;16697,8865;17090;06.09.2013
616;12912,69725;12507;07.09.2013
617;1177,09478;1193;08.09.2013
618;18416,3094;18564;09.09.2013
619;18378,33274;17910;10.09.2013
620;17511,42669;17739;11.09.2013
621;17858,8995;18806;12.09.2013
622;18187,20921;20993;13.09.2013
623;17619,90876;21825;14.09.2013
624;1427,211528;1949;15.09.2013
625;37185,22399;57278;16.09.2013
626;43001,80478;67140;17.09.2013
627;46754,00642;74316;18.09.2013
628;49766,04647;78736;19.09.2013
629;47168,8036;75912;20.09.2013
630;39328,62063;61004;21.09.2013
631;3625,28018;5123;22.09.2013
632;53012,7308;84448;23.09.2013
633;50877,91027;80314;24.09.2013
634;51229,41612;77309;25.09.2013
635;45145,90813;66813;26.09.2013
636;45585,43821;65327;27.09.2013
637;38401,90266;54584;28.09.2013
638;3660,465766;5118;29.09.2013
639;57817,24411;81075;30.09.2013
640;35198,19733;38771;01.10.2013
641;29262,15502;29887;02.10.2013
642;23290,79827;23172;03.10.2013
643;20855,83251;20256;04.10.2013
644;16029,89331;15581;05.10.2013
645;2168,369495;2133;06.10.2013
646;21185,33127;19750;07.10.2013
647;19690,46119;18649;08.10.2013
648;17727,81984;16266;09.10.2013
649;18372,46301;17066;10.10.2013
650;17370,75197;15728;11.10.2013
651;14283,86334;12997;12.10.2013
652;2079,447296;2017;13.10.2013
653;20252,65863;20641;14.10.2013
654;16989,95917;19438;15.10.2013
655;36560,2844;48456;16.10.2013
656;42176,45267;62031;17.10.2013
657;48194,30656;73063;18.10.2013
658;47768,79432;69073;19.10.2013
659;7791,137759;11461;20.10.2013
660;61251,61479;93766;21.10.2013
661;62544,00693;93350;22.10.2013
662;57407,8335;83927;23.10.2013
663;54621,34823;78456;24.10.2013
664;49802,09541;70006;25.10.2013
665;42303,02777;57552;26.10.2013
666;5701,584371;7466;27.10.2013
667;52953,35375;73158;28.10.2013
668;43278,68929;57521;29.10.2013
669;49528,21532;64423;30.10.2013
670;43951,68927;54509;31.10.2013
671;26951,46701;26805;01.11.2013
672;21753,2967;21363;02.11.2013
673;2247,423974;2196;03.11.2013
674;1562,356866;1414;04.11.2013
675;27376,37731;25251;05.11.2013
676;24300,68237;21989;06.11.2013
677;20633,85556;18369;07.11.2013
678;19149,82523;17359;08.11.2013
679;19294,12452;17262;09.11.2013
680;2736,863101;2487;10.11.2013
681;22478,50048;20191;11.11.2013
682;20900,09911;19324;12.11.2013
683;21068,18853;20129;13.11.2013
684;22532,78664;23459;14.11.2013
685;30812,18468;34138;15.11.2013
686;34833,31155;40965;16.11.2013
687;6560,385802;8074;17.11.2013
688;61272,27211;83989;18.11.2013
689;67574,96827;90658;19.11.2013
690;70110,30556;93568;20.11.2013
691;65690,71919;85708;21.11.2013
692;64180,28846;84679;22.11.2013
693;54514,34325;71758;23.11.2013
694;8503,378258;10740;24.11.2013
695;68913,26565;89849;25.11.2013
696;59777,24165;74034;26.11.2013
697;50480,03689;61770;27.11.2013
698;49780,76803;60293;28.11.2013
699;55905,24176;66285;29.11.2013
700;49126,18342;56123;30.11.2013
701;5141,549394;5070;01.12.2013
702;34181,1265;31986;02.12.2013
703;28331,20094;25116;03.12.2013
704;24841,2889;21740;04.12.2013
705;21558,62113;18155;05.12.2013
706;21466,66588;17214;06.12.2013
707;18883,27128;16010;07.12.2013
708;2764,657743;2338;08.12.2013
709;21825,67028;18437;09.12.2013
710;21289,34022;17595;10.12.2013
711;21147,79669;18234;11.12.2013
712;23315,97682;20945;12.12.2013
713;23646,5237;23070;13.12.2013
714;28083,32572;28400;14.12.2013
715;5395,88662;6223;15.12.2013
716;51655,80606;62600;16.12.2013
717;60581,27306;75509;17.12.2013
718;66121,26379;84166;18.12.2013
719;67726,72086;85362;19.12.2013
720;71458,69098;89808;20.12.2013
721;63521,01372;78390;21.12.2013
722;10822,41383;13107;22.12.2013
723;82004,16191;100982;23.12.2013
724;78337,19375;94407;24.12.2013
725;73277,02071;86010;25.12.2013
726;68068,56679;75205;26.12.2013
727;66090,69501;71009;27.12.2013
728;61745,66527;64900;28.12.2013
729;15370,95126;15611;29.12.2013
730;74057,72119;73678;30.12.2013
731;8229,928478;8358;31.12.2013
732;546,786933;515;01.01.2014
733;532,7752364;424;02.01.2014
734;704,1609014;558;03.01.2014
735;1363,303498;1345;04.01.2014
736;264,8760446;261;05.01.2014
737;239,5561416;174;06.01.2014
738;130,5962258;101;07.01.2014
739;206,1805204;176;08.01.2014
740;44983,55708;39714;09.01.2014
741;30171,02713;25418;10.01.2014
742;24062,43044;20137;11.01.2014
743;3143,91805;2717;12.01.2014
744;25877,56748;23025;13.01.2014
745;25923,45499;25457;14.01.2014
746;31654,43502;32938;15.01.2014
747;35431,32952;38875;16.01.2014
748;38726,83337;45215;17.01.2014
749;42268,1813;51128;18.01.2014
750;9513,818028;12075;19.01.2014
751;74274,6061;98062;20.01.2014
752;84421,51622;110330;21.01.2014
753;86197,46309;110838;22.01.2014
754;80685,48791;102543;23.01.2014
755;82024,35798;103626;24.01.2014
756;67640,23565;84515;25.01.2014
757;10270,54698;12356;26.01.2014
758;77585,9177;94538;27.01.2014
759;70079,08869;82961;28.01.2014
760;61440,24115;71279;29.01.2014
761;58715,46828;67406;30.01.2014
762;56306,22231;61376;31.01.2014
763;33203,30295;31072;01.02.2014
764;5102,871956;4405;02.02.2014
765;34208,92522;29827;03.02.2014
766;28464,65326;23177;04.02.2014
767;26776,21004;21822;05.02.2014
768;24216,447;19413;06.02.2014
769;21279,86991;16979;07.02.2014
770;18829,98706;15686;08.02.2014
771;3189,853933;2715;09.02.2014
772;26734,02915;21363;10.02.2014
773;24542,50054;20368;11.02.2014
774;24831,18057;21403;12.02.2014
775;24793,17793;23494;13.02.2014
776;32993,18382;34400;14.02.2014
777;38444,81165;42348;15.02.2014
778;7655,785565;8841;16.02.2014
